match_id,country,league,season,week,date,home_team,away_team,home_goal,away_goal,result,home_lineup,away_lineup,home_passes,away_passes
0,fake,fake,1990,1,0,Everton,Fulham,2.0,3.0,loss,Joe Allen - Damien Duff - Johan Djourou - Emmanuel Adebayor - Luka Modric - Kevin Foley - Asmir Begovic - Charles N'Zogbia - Laurent Koscielny - Aaron Lennon - David de Gea,Billy Jones - Franco Di Santo - Dirk Kuyt - David N'Gog - Carl Jenkinson - Chris Smalling - Fábio Aurélio - James McFadden - Daniel Sturridge - Fabio - David Goodwillie,13 - 28 - 16 - 19 - 31 - 34 - 29 - 36 - 9 - 18 - 11,14 - 14 - 30 - 42 - 33 - 5 - 8 - 37 - 34 - 25 - 23
0,fake,fake,1990,1,0,Blackburn Rovers,Newcastle United,4.0,2.0,win,José Enrique - Hatem Ben Arfa - Daniel Ayala - David Luiz - Apostolos Vellios - Luis Antonio Valencia - Kieran Gibbs - Alex Oxlade-Chamberlain - Eric Lichaj - Danny Rose - Dickson Etuhu,Haris Vuckic - Mario Balotelli - Jonas Olsson - John O'Shea - Fabricio Coloccini - Fabian Delph - Jussi Jääskeläinen - Kevin Doyle - Jonny Howson - John Obi Mikel - Danny Gabbidon,30 - 45 - 30 - 24 - 40 - 5 - 44 - 29 - 26 - 11 - 40,41 - 16 - 30 - 24 - 29 - 10 - 12 - 20 - 32 - 1 - 8
0,fake,fake,1990,1,0,Chelsea,Bolton Wanderers,2.0,2.0,tie,Marc Tierney - Marcus Olsson - Kerim Frei - Francis Coquelin - George Elokobi - Graham Dorrans - Chris Eagles - Darron Gibson - James McClean - Andy Carroll - Chris Brunt,Ben Amos - Andreas Weimann - Kyle Walker - Craig Gardner - Ashley Williams - Jermaine Jenas - Fitz Hall - Adam Hammill - Elliott Bennett - Florent Malouda - David Stockdale,9 - 12 - 34 - 27 - 20 - 34 - 10 - 44 - 17 - 7 - 28,9 - 16 - 6 - 22 - 23 - 19 - 36 - 12 - 38 - 14 - 26
0,fake,fake,1990,1,0,Tottenham Hotspur,Wigan Athletic,3.0,3.0,tie,Kemy Agustien - Keith Andrews - John Terry - Anton Ferdinand - Henrique Hilário - Barry Bannan - David Jones - Juan Mata - Craig Bellamy - Josh McEachran - Jermaine Beckford,Keiren Westwood - Frank Lampard - Declan Rudd - Emmerson Boyce - Conor Sammon - Chris Herd - Joe Hart - José Bosingwa - Jay Bothroyd - Gaël Givet - Marouane Chamakh,2 - 38 - 42 - 38 - 28 - 32 - 36 - 35 - 24 - 9 - 31,37 - 38 - 27 - 32 - 15 - 31 - 24 - 11 - 38 - 7 - 44
0,fake,fake,1990,1,0,West Bromwich Albion,Stoke City,3.0,2.0,win,Jamie O'Hara - Connor Wickham - David Edwards - Jamie Mackie - Doni - Luis Suárez - Gaël Clichy - Gareth Barry - Gylfi Sigurdsson - Jazz Richards - Chris Baird,Christopher Samba - Ashley Young - Ahmed El Mohamady - Marc Wilson - Jay Spearing - Fabrice Muamba - Jonathan Walters - Gabriel Tamas - Hugo Rodallega - Angel Rangel - Aleksandar Kolarov,21 - 47 - 25 - 21 - 27 - 45 - 25 - 21 - 34 - 16 - 13,17 - 26 - 5 - 14 - 12 - 7 - 25 - 31 - 37 - 18 - 23
0,fake,fake,1990,1,0,Arsenal,Liverpool,4.0,2.0,win,Ben Foster - Heidar Helguson - Kieran Richardson - Craig Dawson - Mark Bunn - Brad Guzan - Carlos Cuellar - Jordan Henderson - Andrew Johnson - David Pizarro - Elliott Ward,Adel Taarabt - David Fox - Emmanuel Frimpong - Brede Hangeland - Aaron Wilbraham - John Heitinga - Brad Friedel - Jermaine Pennant - Gonzalo Jara - Leon Britton - Joe Riley,30 - 38 - 32 - 6 - 40 - 23 - 46 - 32 - 37 - 2 - 46,34 - 9 - 40 - 21 - 22 - 17 - 23 - 35 - 13 - 5 - 19
0,fake,fake,1990,1,0,Norwich City,Manchester United,2.0,4.0,loss,Gary Cahill - Mark Gower - Marc Albrighton - Dorus de Vries - Garry Monk - Anderson - DJ Campbell - Albert Crusat - Djibril Cissé - Gervinho - Kyle Naughton,Kolo Touré - Danny Graham - Bacary Sagna - James Morrison - Magaye Gueye - James McCarthy - Aaron Hughes - John Ruddy - Jonathan Woodgate - Darren Pratley - Jason Roberts,14 - 5 - 30 - 47 - 5 - 41 - 18 - 40 - 11 - 10 - 18,25 - 42 - 6 - 40 - 19 - 45 - 47 - 43 - 34 - 18 - 44
0,fake,fake,1990,1,0,Swansea City,Aston Villa,2.0,3.0,loss,Jean Beausejour - Ashley Cole - Aaron Ramsey - Benoit Assou-Ekotto - Fernando Torres - John Arne Riise - Cameron Jerome - Joey Barton - Adam Drury - Andy Wilkinson - Alex,David Davis - Karl Henry - Ben Watson - Chris Martin - James Perch - Davide Santon - Anthony Modeste - Daniel Agger - Adam Johnson - Jermain Defoe - Jonny Evans,4 - 33 - 5 - 29 - 9 - 26 - 14 - 17 - 46 - 14 - 31,17 - 18 - 24 - 28 - 12 - 40 - 4 - 44 - 41 - 38 - 23
0,fake,fake,1990,1,0,Manchester City,Queens Park Rangers,3.0,4.0,loss,Jon Flanagan - Gabriel Obertan - Ali Al Habsi - Demba Ba - Craig Gordon - Danny Welbeck - Clint Hill - Leroy Lita - Luke Moore - Leon Best - Denis Stracqualursi,David Silva - Marc-Antoine Fortuné - Glenn Whelan - Chicharito - Jonás Gutiérrez - Andrey Arshavin - Fraizer Campbell - Luke Young - David Wheater - Mark Davies - David Dunn,30 - 19 - 44 - 11 - 45 - 18 - 27 - 6 - 23 - 46 - 29,43 - 41 - 30 - 40 - 45 - 42 - 28 - 25 - 12 - 20 - 41
0,fake,fake,1990,1,0,Sunderland,Wolverhampton Wanderers,3.0,2.0,win,Carlos Tevez - Bryan Ruiz - Danny Higginbotham - Charlie Adam - Lucas Leiva - Leighton Baines - Branislav Ivanovic - Brett Emerton - Adlène Guédioura - Bobby Zamora - Gareth Bale,Didier Drogba - Kevin Davies - Jack Colback - Christophe Berra - Jody Craddock - Adam Bogdan - Antolín Alcaraz - Darren Fletcher - Glen Johnson - Alan Hutton - Bradley Orr,23 - 42 - 26 - 29 - 37 - 44 - 31 - 44 - 2 - 7 - 39,9 - 32 - 18 - 22 - 19 - 33 - 32 - 16 - 8 - 24 - 16
0,fake,fake,1990,2,0,Newcastle United,Everton,2.0,2.0,tie,Fabricio Coloccini - Kevin Doyle - Kenwyne Jones - Danny Gabbidon - Jussi Jääskeläinen - Haris Vuckic - Jason Lowe - Mahamadou Diarra - Mario Balotelli - John Obi Mikel - John O'Shea,Luka Modric - Johan Djourou - Damien Duff - Charles N'Zogbia - Leon Barnett - Joe Allen - Laurent Koscielny - Asmir Begovic - Aaron Lennon - Andrea Orlandi - Alejandro Faurlin,29 - 20 - 18 - 8 - 12 - 41 - 35 - 12 - 16 - 1 - 24,31 - 16 - 28 - 36 - 11 - 13 - 9 - 29 - 18 - 7 - 7
0,fake,fake,1990,2,0,Bolton Wanderers,Fulham,3.0,2.0,win,Fitz Hall - Kyle Walker - Jermaine Jenas - Ben Amos - Florent Malouda - Elliott Bennett - Adam Hammill - Jake Livermore - Leon Osman - Craig Gardner - Jordi Gómez,Chris Smalling - James McFadden - Carl Jenkinson - David Goodwillie - Dirk Kuyt - Fábio Aurélio - Billy Jones - Franco Di Santo - Ciaran Clark - David N'Gog - Daniel Sturridge,36 - 6 - 19 - 9 - 14 - 38 - 12 - 32 - 46 - 22 - 39,5 - 37 - 33 - 23 - 30 - 8 - 14 - 14 - 6 - 42 - 34
0,fake,fake,1990,2,0,Wigan Athletic,Blackburn Rovers,3.0,3.0,tie,André Santos - Keiren Westwood - Marouane Chamakh - Liam Ridgewell - Conor Sammon - Emmerson Boyce - Gaël Givet - Ledley King - Frank Lampard - Jay Bothroyd - José Bosingwa,Alex Oxlade-Chamberlain - Daniel Ayala - Dickson Etuhu - Gabriel Agbonlahor - Danny Simpson - Eric Lichaj - Apostolos Vellios - José Enrique - David Luiz - Danny Rose - Luis Antonio Valencia,20 - 37 - 44 - 29 - 15 - 32 - 7 - 34 - 38 - 38 - 11,29 - 30 - 40 - 18 - 9 - 26 - 40 - 30 - 24 - 11 - 5
0,fake,fake,1990,2,0,Stoke City,Chelsea,2.0,3.0,loss,Anthony Forde - Ashley Young - Gabriel Tamas - Ahmed El Mohamady - Fabrice Muamba - Edin Dzeko - Christopher Samba - Marc Wilson - David Junior Hoilett - Jonathan Walters - Hugo Rodallega,Andy Carroll - Francis Coquelin - Marc Tierney - Kerim Frei - George Elokobi - Graham Dorrans - Darron Gibson - Gary Caldwell - Andrew Surman - Marcus Olsson - James Milner,26 - 26 - 31 - 5 - 7 - 33 - 17 - 14 - 3 - 25 - 37,7 - 27 - 9 - 34 - 20 - 34 - 44 - 32 - 6 - 12 - 43
0,fake,fake,1990,2,0,Liverpool,Tottenham Hotspur,2.0,3.0,loss,Brede Hangeland - Gonzalo Jara - Leon Britton - Emmanuel Frimpong - Joe Riley - Armand Traore - Jermaine Pennant - James McArthur - John Heitinga - Brad Friedel - Diniyar Bilyaletdinov,Juan Mata - Craig Bellamy - Jerome Thomas - David Jones - John Terry - Dean Whitehead - Kemy Agustien - Jermaine Beckford - Keith Andrews - Anton Ferdinand - Josh McEachran,21 - 13 - 5 - 40 - 19 - 9 - 35 - 22 - 17 - 23 - 26,35 - 24 - 39 - 36 - 42 - 7 - 2 - 31 - 38 - 38 - 9
0,fake,fake,1990,2,0,Manchester United,West Bromwich Albion,4.0,3.0,win,Kolo Touré - John Ruddy - James McCarthy - Jason Roberts - Grant Hanley - David Vaughan - Emile Heskey - Danny Graham - Bacary Sagna - Aaron Hughes - Magaye Gueye,David Edwards - Doni - Jamie O'Hara - Gylfi Sigurdsson - Cheick Tioté - Bradley Johnson - Chris Baird - Anthony Pilkington - Jamie Mackie - Connor Wickham - Jazz Richards,25 - 43 - 45 - 44 - 8 - 22 - 20 - 42 - 6 - 47 - 19,25 - 27 - 21 - 34 - 28 - 32 - 13 - 4 - 21 - 47 - 16
0,fake,fake,1990,2,0,Aston Villa,Arsenal,3.0,3.0,tie,Kieron Dyer - James Perch - Adam Johnson - Ben Watson - Daniel Agger - Grétar Steinsson - Jermain Defoe - Chris Martin - Darren Bent - Jonny Evans - Davide Santon,Marcos Alonso - Carlos Cuellar - Mark Bunn - David Pizarro - Heidar Helguson - Andrew Johnson - Kieran Richardson - Lee Cattermole - Craig Dawson - Jordan Henderson - Brad Guzan,0 - 12 - 41 - 24 - 44 - 5 - 38 - 28 - 12 - 23 - 40,43 - 46 - 40 - 2 - 38 - 37 - 32 - 12 - 6 - 32 - 23
